company_name,model_name,battery_capacity,ram,screen_size
Apple,iPhone 15 Plus 256GB,4300mAh,6GB,6.7 inches
Lenovo,Z5 Pro 64GB,3350mAh,6GB,6.39 inches
POCO,X3 GT 128GB,5000mAh,6GB,6.6 inches
Honor,Magic5 Ultimate,5450mAh,16GB,6.81 inches
Oppo,A80 256GB,5100mAh,8GB,6.67 inches
Motorola,Moto G Stylus 5G 256GB,5000mAh,6GB,6.8 inches
Motorola,Moto G85 256GB,5000mAh,12GB,6.67 inches
Honor,90,5000mAh,12GB,6.7 inches
Realme,Note 60 256GB,5200mAh,8GB,6.6 inches
Xiaomi,Redmi Note 14 5G 256GB,5000mAh,8GB,6.67 inches
