company_name,model_name,battery_capacity,ram,screen_size,storage_capacity
Motorola,Edge,4700mAh,12GB,6.7 inches,512GB
Tecno,Pova 5G,6000mAh,8GB,6.9 inches,512GB
Lenovo,Legion Y70,5100mAh,12GB,6.67 inches,256GB
Samsung,Galaxy M54,6000mAh,8GB,6.7 inches,256GB
Tecno,Camon 20 Premier,5200mAh,12GB,6.8 inches,512GB
OnePlus,OnePlus 15R,5000mAh,12GB,6.7 inches,128GB
Huawei,P50,4100mAh,8GB,6.5 inches,
Vivo,V17 Pro,4100mAh,8GB,6.44 inches,256GB
Oppo,Reno5 5G,4300mAh,8GB,6.43 inches,128GB
Realme,TechLife Pad Neo,7200mAh,6GB,10.5 inches,128GB
